,name,address,categories,id
267,College of Staten Island High School for International Studies,,school,OSMway-34900342
268,William H. Pouch Scout Camp,,recreation_ground,OSMway-34901933
269,Rev. Dr. Maggie Howard Playground,,park,OSMway-34903700
270,Alice Austen House and Park,,park,OSMway-34923118
271,Corporal Thompson Park,,park,OSMway-34965353
272,North Shore Waterfront Park,,park,OSMway-34965456
273,Faber Park,,park,OSMway-34965878
274,Westwood Park,,forest;nature_reserve,OSMway-34966303
275,Ingram Woods,,forest;nature_reserve,OSMway-34966349
276,Westerleigh Park,,park,OSMway-34966385
277,Northerleigh Park,,park,OSMway-34966494
278,Christopher J. Igneri Playground,,park,OSMway-34966565
279,Sports Park,,theme_park,OSMway-34966692
280,Tottenville Shore Park,,nature_reserve,OSMway-34967995
281,Tottenville Shore Park,,nature_reserve,OSMway-34968051
282,Tottenville Shore Park,,nature_reserve,OSMway-34968162
283,Prall Playground,,park,OSMway-34968694
284,Austin J. McDonald Playground,,park,OSMway-34968930
285,Mahoney Playground,,park,OSMway-34988262
286,Nicholas Lia Memorial Park,,park,OSMway-34988273
287,Fort Hill Park,,park,OSMway-34988282
288,Davis Playground,,park,OSMway-34988288
289,Liotti-Ikefugi Playground,,park,OSMway-34988295
290,Skyline Playground,,playground,OSMway-34988312
291,Harvard Yard,,park,OSMway-34988313
292,Snug Harbor Sailor's Cemetery,,cemetery,OSMway-34988423
293,St. Peter's Boys High School,,school,OSMway-34988445
294,Goodhue Park,,park,OSMway-34988468
295,Susan E. Wagner High School,,school,OSMway-34988731
296,Port Richmond High School,,school,OSMway-34989561
297,Garibaldi-Meucci Museum,,museum,OSMway-35017727
298,Nicholas de Matti Playground,,park,OSMway-35017760
299,Reinhard E Kaltenmeier Playground,,park,OSMway-35018067
300,Tappen Park,,park,OSMway-35018232
301,Tompkinsville Park,,park,OSMway-35018649
302,Lyons Pool & Fitness Center,,sports_centre,OSMway-35018713
303,Clove's Tail,,park,OSMway-35023689
304,Freshkills Park,,nature_reserve,OSMway-35024697
305,Great Kills Little League Inc.,,sports_centre,OSMway-35086122
306,Great Kills Swim Club,,sports_centre,OSMway-35086128
307,Olmsted–Beil House Park,,park,OSMway-35086189
308,St. George Ferry Terminal,,bus_station,OSMway-35089750
309,Pinocchio Park,,park,OSMway-35089910
310,The Promenade at Lighthouse Point,,recreation_ground,OSMway-35089934
311,Gerard P Dugan Park,,park,OSMway-35090444
312,Dugan Playground,,playground,OSMway-35090445
313,New Dorp Park,,forest,OSMway-35090463
314,Saint Joseph Hill Academy,,school,OSMway-35090608
315,Harris Brothers Park,,park,OSMway-35090791
316,Battery Catlin,,fort;bunker,OSMway-35098857
317,Battery Turnbull,,fort;bunker,OSMway-35098861
318,Battery Bacon,,fort;bunker,OSMway-35098919
319,Battery Mills,,fort;bunker,OSMway-35098920
320,Battery Barbour,,fort;bunker,OSMway-35098921
321,Battery Hudson,,fort;bunker,OSMway-35099109
322,Battery Upton,,fort;bunker,OSMway-35099149
323,Battery Barry,,fort;bunker,OSMway-35099150
324,Battery Richmond,,fort;bunker,OSMway-35099151
325,Battery Ayres,,fort;bunker,OSMway-35099171
326,Battery Dix,,fort;bunker,OSMway-35099186
327,Herb Garden,,hedge;garden,OSMway-35208784
328,Grandview Playground,,park,OSMway-35275860
329,Old Town Playground,,park,OSMway-35275996
330,Saint Marys Cemetery,,cemetery,OSMway-35276208
331,Saint Marys Cemetery,,cemetery,OSMway-35276638
332,Waterlands Park,,park,OSMway-35338903
333,Farrell Field,,park,OSMway-35339268
334,Founders Park,,park,OSMway-35339523
335,Terrace Playground,,park,OSMway-35577692
336,Maple Woods,,park,OSMway-35577829
337,Sobel Court Park,,park,OSMway-35577901
338,Joe Holzka Community Garden,,garden,OSMway-35578671
339,Levy Playground,,playground,OSMway-35578768
340,Veteran's Park,,park,OSMway-35578834
341,Bobbie Lewis Jr. Playground,,park,OSMway-35579236
342,Forest Grove,,nature_reserve,OSMway-35579585
343,Jennifer's Playground,,park,OSMway-35580275
344,Markham Playground,,park,OSMway-35580417
345,Egbert Triangle,,park,OSMway-35580454
346,Marsh Point Triangle,,park,OSMway-35580826
347,Carlton Park,,nature_reserve,OSMway-35580924
348,Great Kills Park,,park,OSMway-35581901
349,Seaside Nature Park,,park,OSMway-35581974
350,Forest Mall,,park,OSMway-35594415
351,John E White Playground,,park,OSMway-35594703
352,Frederick Staats Circle,,park,OSMway-35594810
353,Naples Playground,,park,OSMway-35595300
354,Great Kills Veterans Playground,,park,OSMway-35597032
355,Double Nickel Playground,,park,OSMway-35598421
356,Serpentine Art and Nature Commons,,park,OSMway-35601752
357,Washington Cemetery,,cemetery,OSMway-35601999
358,Neptune Fountain,,fountain;footway,OSMway-35608886
359,Fairview Cemetery,,cemetery,OSMway-35744947
360,Jones Woods Park,,forest;nature_reserve,OSMway-35745269
361,Bethel Cemetery,,grave_yard;cemetery,OSMway-35745944
362,Bedford Green,,park,OSMway-35751568
363,Egbertville Ravine,,forest;nature_reserve,OSMway-35757085
364,Mill Creek Bluebelt,,nature_reserve,OSMway-35778283
365,Mill Creek Bluebelt,,nature_reserve,OSMway-35778451
366,Arbutus Creek Bluebelt,,nature_reserve,OSMway-35779071
367,Lemon Creek - Sandy Brook Bluebelt,,nature_reserve,OSMway-35779354
368,Lemon Creek - Sandy Brook Bluebelt,,nature_reserve,OSMway-35779412
369,Lemon Creek - Sandy Brook Bluebelt,,nature_reserve,OSMway-35779527
370,Lemon Creek - Sandy Brook Bluebelt,,nature_reserve,OSMway-35779584
371,Fountain Cemetery,,cemetery,OSMway-35781256
372,Rossville A.M.E. Zion Church Cemetery,,cemetery,OSMway-35782710
373,St. John's Lutheran Church Cemetery,,cemetery,OSMway-35782962
374,St. Mary's of the Assumption Church Cemetery,,cemetery,OSMway-35783200
375,Sylvan Cemetery - Patterson Cemetery,,cemetery,OSMway-35784200
376,Saint Lukes Cemetery,,cemetery,OSMway-35784336
377,Saint Josephs Cemetery,,cemetery,OSMway-35784430
378,Arthur Kill Correctional Facility,,prison;fence,OSMway-35786803
379,Lemon Creek - Sandy Brook Bluebelt,,forest;nature_reserve,OSMway-35798820
380,Saint Charles Mission Center,Staten Island 209 Flagg Place ,place_of_worship,OSMway-35819559
381,Willowbrook Park Archery Range,,pitch,OSMway-35821262
382,Staten Island Armory,,military,OSMway-35837412
383,PENN 2,New York 2 Penn Plaza ,office,OSMway-35938543
384,Bellevue Society Garden,,park,OSMway-36185652
385,Desalvio Playground,,park,OSMway-36865288
386,Tottenville Marina,,marina,OSMway-36897723
387,Moonbeam Great Kills Marina,,marina,OSMway-36897883
388,Riverside Park,New York ,park,OSMway-37003318
389,Coffey Park,,park,OSMway-37075223
390,North Meadow,,recreation_ground,OSMway-37183476
391,Grove Park,,recreation_ground;park,OSMway-37682791
392,Seton Hall University,,university,OSMway-37684708
393,Ivy Hill Park,,park,OSMway-37688357
394,Manna Park,,park,OSMway-38029042
395,The Mills at Jersey Gardens,,retail,OSMway-38081327
396,Avalon Cove,Jersey City 444 Washington Boulevard ,apartments;residential,OSMway-38109266
397,Avalon Cove,Jersey City 444 Washington Boulevard ,apartments,OSMway-38109267
398,Mandalay on the Hudson,,yes,OSMway-38110877
399,Joyce Kilmer Park,,park,OSMway-38158617
400,John Mullaly Park,,park,OSMway-38159224
401,John Mullaly Park,,park,OSMway-38159225
402,Fordham University,Bronx 441 East Fordham Road ,university,OSMway-38839105
403,New York Botanical Garden,Bronx 2900 Southern Boulevard ,heritage;garden,OSMway-38839186
404,Bronx Zoo,Bronx 2300 Southern Boulevard ,zoo,OSMway-38839347
405,Staten Island Ferry Whitehall Terminal,New York 4 South Street ,ferry_terminal,OSMway-38868195
406,Schaefer Esplanade,,park,OSMway-39015952
407,Barnard College,,university,OSMway-39243740
408,Morningside Park,,park,OSMway-39243853
409,The Blockhouse,,tourism;building;attraction,OSMway-39243913
410,Berdan Grove,,park,OSMway-39477531
411,Bay Plaza Shopping Ctr,,retail,OSMway-39488156
412,Hillside Park,,dog_park,OSMway-39513389
413,Radburn A-Park,,park,OSMway-39527087
414,Radburn B-Park,,park,OSMway-39527088
415,Radburn Plaza Building,Fair Lawn 14-25 Plaza Road ,yes,OSMway-39527852
416,Phelps Park,,park,OSMway-39647454
417,Foschini Park,,park,OSMway-39647456
418,Oak Ridge Park,Clifton 1061 Clifton Avenue ,park,OSMway-39647568
419,Edgemont Memorial Park,,park,OSMway-39647578
420,Petruska Park,,park,OSMway-39647667
421,Upper Montclair Country Club,,golf_course,OSMway-39647672
422,Dreyer Farms,,farmland,OSMway-39647690
423,Father Glotzbach Memorial Park,,recreation_ground,OSMway-39647693
424,Cedar Street Pool,,recreation_ground,OSMway-39647715
425,Glenfield Park,,park,OSMway-39647716
426,Christopher Columbus Park,Passaic 416 Paulison Avenue ,recreation_ground,OSMway-39647722
427,Schmidts Wood,,park,OSMway-39647724
428,Harrison Complex,,park,OSMway-39647730
429,Pulaski Park,,recreation_ground,OSMway-39647755
430,Memorial Park,,recreation_ground,OSMway-39647804
431,Demuro Park,,recreation_ground;park,OSMway-39647922
432,Monsignor Owens Park,,recreation_ground;park,OSMway-39647948
433,Dwight-Englewood School (Solomon Field),,school,OSMway-39648026
434,Tryon Park,,park,OSMway-39648033
435,Von Dohln Marina,,recreation_ground;marina,OSMway-39648074
436,Kennedy Field,,recreation_ground,OSMway-39648111
437,Crestmont Country Club,,golf_course,OSMway-39648128
438,West Side Park,,park,OSMway-39648150
439,Eagle Rock Reservation,,nature_reserve,OSMway-39648154
440,Veterans Memorial Park,,park,OSMway-39648169
441,Memorial Field,,park,OSMway-39648181
